Company Name,Company Website,Job Title,Job Location,Job URL,Posted Date,Decision Maker Name,Decision Maker Title,Decision Maker LinkedIn,Employee Count,Confidence,Search Metro,Discovered Date
VMGROUPE,https://vmgroupe.com,Strategic Sales Director: High-Impact Brand Growth,Anywhere,https://www.jobleads.com/us/job/strategic-sales-director-high-impact-brand-growth--new-york--e5960cf8402e59bceeb0d5e9d82e40643?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-27,Addia Cooper-Henry,Founder & Chief Creative Officer,"https://vmgroupe.com/we-elevate-brands/, https://www.cew.org/member/addia-cooper-henry/",,High,"New York, NY",2026-03-01
Miroma Founders Network,https://miromafoundersnetwork.com/,New Business and Marketing Director,"New York, NY",https://us.bebee.com/job/159af3976684573b364b87f43e526c68?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-26,Richard Stanton,CEO,https://ipa.co.uk/agency/miroma-founders-network,51,High,"New York, NY",2026-03-01
SmartAcre Inc.,getsmartacre.com,Account Manager (Marketing Agency),"Allentown, PA","https://www.ziprecruiter.com/c/SmartAcre/Job/Account-Manager-(Marketing-Agency)/-in-Allentown,PA?jid=b605161c4159098f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-02-22,David Snyder,CEO,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGQmTi0SlH4AyrikY_D1I7HOKD2j0HWYvdxqHxKJzjN7mZKdE9nJvu8KJSTasFiEXEoXqkDqH4qErWaCrVPBli6Kl3Mz_LD1_v7JKPgSeTbGSUQSz0jE9oTT0d_sDtYvA==,49,High,"New York, NY",2026-03-01
Cyphers Agency,thecyphersagency.com,Account Executive,"Crofton, MD",https://thecyphersagency.com/careers/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-22,David Cyphers,President,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFYwsHtfqAq4jW__K5IDlbIv63jZxshAtaNm7LHr9LExxrFe1yPeThR57hBfVDCWe-po6XrWRD3PRACyPTc3V70k1JC4QlAtL_TvZNEYbRvvFPWmGY-QilMzC0WWHs==,49,High,"New York, NY",2026-03-01
"FMN Creative, LLC",fmncreative.com,Digital Content & Growth Marketing Manager,"Utica, NY",https://jobs.gusto.com/postings/fmn-creative-llc-digital-content-growth-marketing-manager-107b0e58-c5fd-43bb-8088-5c08b280806d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-23,Francesca Orsomarso,CEO/Creative Director,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGfqWGqiJ3CDkCDYc0ewtaS-jZadCTzpDalk0-ILeifDTbvMxwC1-f0HtLuB8LtqRBpbXbgUMJflxYEnauvwLdZJBfEjKDuyimAKHBz2xgmhaS_gaLx2nDaxpOIGDCcDNJ73fdHJQNT,49,High,"New York, NY",2026-03-01
Out There 360,outthere360.com,Sales Manager — Luxury Advertising Agency,"Pavia, PA",https://www.recruit.net/job/sales-manager-luxury-advertising-agency-jobs/C9724585130BD561?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-25,,,,,,"New York, NY",2026-03-01
Td,tdmarketingglobal.com,Associate Digital Marketing Manager (US),"Wilmington, DE","https://www.ziprecruiter.com/c/Td/Job/Associate-Digital-Marketing-Manager-(US)/-in-Wilmington,DE?jid=1a986c40a16da5a7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-02-23,,,,,,"New York, NY",2026-03-01
times10,https://times10.net,Marketing Director; Creative Agency,"Burbank, CA",https://www.learn4good.com/jobs/burbank/california/creative_arts_and_media/4913241775/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-01,Ben Ricciardi,CEO / Founder,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF-qZ5GakBFFfsV6gYobwfVg6IO0-l5dewj5tF3vuiM6UBX9K6gqfRgw3XBlb49ADyYp64aj0ttJ1LEoLO0TpPmtrIh8YOBW9OvW24GqAsuWvK47ZP4QpROuhF2,,High,"Los Angeles, CA",2026-03-01
Kleek Marketing,https://kleek-marketing.com,Sales Representative (Digital Marketing Agency),"Riverside, CA",https://jobs.digitalhire.com/job-listing/opening/RJSUfnW4B88ryHacGv75U?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-01,,,,,,"Los Angeles, CA",2026-03-01
Times10,https://times10.net,Marketing Director Creative Agency,"Burbank, CA",https://www.jobilize.com/job/us-ca-burbank-marketing-director-creative-agency-times10-hiring-now?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-26,Ben Ricciardi,CEO / Founder,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF-qZ5GakBFFfsV6gYobwfVg6IO0-l5dewj5tF3vuiM6UBX9K6gqfRgw3XBlb49ADyYp64aj0ttJ1LEoLO0TpPmtrIh8YOBW9OvW24GqAsuWvK47ZP4QpROuhF2,,High,"Los Angeles, CA",2026-03-01
